trial,phase,start_timestamp,end_timestamp,gaze_sample_count,fixation_count,surface_sample_count,blink_count,pupil_sample_count
1,decision,178852.7023812485,178852.7217472075,5,8,0,0,0
1,feedback,178852.7217472075,178852.7396236235,4,8,0,0,0
2,postFeedbackDelay,178852.7396236235,178852.7552079155,4,8,0,0,0
2,baseline,178852.7552079155,178852.7718531235,4,8,0,0,0
2,sample,178852.7718531235,178853.7219498325,235,8,0,0,0
2,delay,178853.7219498325,178854.7209091655,247,8,0,0,0
2,decision,178854.7209091655,178856.72153408252,496,9,0,0,0
2,feedback,178856.72153408252,178858.7224137905,495,10,0,0,0
3,postFeedbackDelay,178858.7224137905,178859.7224209155,248,10,0,0,0
3,baseline,178859.7224209155,178860.7219062075,248,10,0,0,0
3,sample,178860.7219062075,178861.7213551655,247,10,0,0,0
3,delay,178861.7213551655,178862.7213743735,248,10,0,0,0
3,decision,178862.7213743735,178864.7215339985,497,20,0,0,0
3,feedback,178864.7215339985,178866.7214639575,495,20,0,0,0
4,postFeedbackDelay,178866.7214639575,178867.7208504985,247,20,0,0,0
4,baseline,178867.7208504985,178868.7206897485,248,20,0,0,0
4,sample,178868.7206897485,178869.72136920752,249,20,0,0,0
4,delay,178869.72136920752,178870.7212748325,245,20,0,0,0
4,decision,178870.7212748325,178872.7224217905,496,20,0,0,0
4,feedback,178872.7224217905,178874.7225706235,496,20,0,0,0
5,postFeedbackDelay,178874.7225706235,178875.7212787075,247,20,0,0,0
5,baseline,178875.7212787075,178876.7212499575,248,20,0,0,0
5,sample,178876.7212499575,178877.7213419575,248,20,0,0,0
5,delay,178877.7213419575,178878.72149874852,248,21,0,0,0
5,decision,178878.72149874852,178880.7212907905,496,21,0,0,0
5,feedback,178880.7212907905,178882.7213176235,496,21,0,0,0
6,postFeedbackDelay,178882.7213176235,178883.7212591655,247,21,0,0,0
6,baseline,178883.7212591655,178884.7220300825,248,21,0,0,0
6,sample,178884.7220300825,178885.7214382485,248,21,0,0,0
6,delay,178885.7214382485,178886.7217338735,248,21,0,0,0
6,decision,178886.7217338735,178888.7228463735,496,21,0,0,0
6,feedback,178888.7228463735,178890.72107824852,495,21,0,0,0
7,postFeedbackDelay,178890.72107824852,178891.7211379155,248,21,0,0,0
7,baseline,178891.7211379155,178892.7211870825,248,21,0,0,0
7,sample,178892.7211870825,178893.7213181235,248,21,0,0,0
7,delay,178893.7213181235,178894.7212272075,248,21,0,0,0
7,decision,178894.7212272075,178896.7206403325,495,21,0,0,0
7,feedback,178896.7206403325,178898.7211639985,496,21,0,0,0
8,postFeedbackDelay,178898.7211639985,178899.72039804052,248,21,0,0,0
8,baseline,178899.72039804052,178900.7212093735,248,26,0,0,0
8,sample,178900.7212093735,178901.72243595752,248,29,0,0,0
8,delay,178901.72243595752,178902.7221340405,248,29,0,0,0
8,decision,178902.7221340405,178904.7211445405,495,29,0,0,0
8,feedback,178904.7211445405,178906.7212062075,496,29,0,0,0
9,postFeedbackDelay,178906.7212062075,178907.7210622905,248,29,0,0,0
9,baseline,178907.7210622905,178908.7207859985,248,29,0,0,0
9,sample,178908.7207859985,178909.7213472485,248,29,0,0,0
9,delay,178909.7213472485,178910.72109820752,248,29,0,0,0
9,decision,178910.72109820752,178912.7211235825,496,29,0,0,0
9,feedback,178912.7211235825,178914.7211902075,495,29,0,0,0
10,postFeedbackDelay,178914.7211902075,178915.7219481655,248,29,0,0,0
10,baseline,178915.7219481655,178916.7223484155,248,29,0,0,0
10,sample,178916.7223484155,178917.7216527905,248,29,0,0,0
10,delay,178917.7216527905,178918.7211082075,247,29,0,0,0
10,decision,178918.7211082075,178920.72116670752,496,29,0,0,0
10,feedback,178920.72116670752,178922.7214506235,497,29,0,0,0
11,postFeedbackDelay,178922.7214506235,178923.7205092485,247,29,0,0,0
11,baseline,178923.7205092485,178924.7210817075,248,29,0,0,0
11,sample,178924.7210817075,178925.7211382485,248,29,0,0,0
11,delay,178925.7211382485,178926.7210484155,247,31,0,0,0
11,decision,178926.7210484155,178928.7210796235,496,31,0,0,0
11,feedback,178928.7210796235,178930.7215531655,496,31,0,0,0
12,postFeedbackDelay,178930.7215531655,178931.7222489155,248,31,0,0,0
12,baseline,178931.7222489155,178932.7222596235,248,32,0,0,0
12,sample,178932.7222596235,178933.7210345405,247,32,0,0,0
12,delay,178933.7210345405,178934.7210114575,248,32,0,0,0
12,decision,178934.7210114575,178936.7204814155,496,32,0,0,0
12,feedback,178936.7204814155,178938.7210912075,496,32,0,0,0
13,postFeedbackDelay,178938.7210912075,178939.7212402075,248,32,0,0,0
13,baseline,178939.7212402075,178940.7210165405,247,32,0,0,0
13,sample,178940.7210165405,178941.7216119985,248,32,0,0,0
13,delay,178941.7216119985,178942.7210199985,248,32,0,0,0
13,decision,178942.7210199985,178944.7220474985,496,32,0,0,0
13,feedback,178944.7220474985,178946.72254591552,496,32,0,0,0
14,postFeedbackDelay,178946.72254591552,178947.7211592905,247,32,0,0,0
14,baseline,178947.7211592905,178948.7210078735,248,32,0,0,0
14,sample,178948.7210078735,178949.7209734985,248,32,0,0,0
14,delay,178949.7209734985,178950.7208730825,248,32,0,0,0
14,decision,178950.7208730825,178952.7210219985,496,39,0,0,0
14,feedback,178952.7210219985,178954.7211912075,495,39,0,0,0
15,postFeedbackDelay,178954.7211912075,178955.7208196235,248,39,0,0,0
15,baseline,178955.7208196235,178956.7209212905,248,39,0,0,0
15,sample,178956.7209212905,178957.7208658325,248,40,0,0,0
15,delay,178957.7208658325,178958.72219012352,248,40,0,0,0
15,decision,178958.72219012352,178960.7211239575,496,40,0,0,0
15,feedback,178960.7211239575,178962.7209467905,496,40,0,0,0
16,postFeedbackDelay,178962.7209467905,178963.7208287485,247,40,0,0,0
16,baseline,178963.7208287485,178964.72081399852,248,40,0,0,0
16,sample,178964.72081399852,178965.7208634575,248,40,0,0,0
16,delay,178965.7208634575,178966.7213274985,248,40,0,0,0
16,decision,178966.7213274985,178968.7210570405,495,40,0,0,0
16,feedback,178968.7210570405,178970.7209377905,496,40,0,0,0
17,postFeedbackDelay,178970.7209377905,178971.7208130825,248,40,0,0,0
17,baseline,178971.7208130825,178972.7207776235,248,40,0,0,0
17,sample,178972.7207776235,178973.7213432485,248,40,0,0,0
17,delay,178973.7213432485,178974.72134604052,248,40,0,0,0
17,decision,178974.72134604052,178976.7207707485,495,40,0,0,0
17,feedback,178976.7207707485,178978.72117779052,496,45,0,0,0
18,postFeedbackDelay,178978.72117779052,178979.72095641552,248,45,0,0,0
18,baseline,178979.72095641552,178980.72067312352,248,45,0,0,0
18,sample,178980.72067312352,178982.0226037485,323,45,0,0,0
18,delay,178982.0226037485,178982.7207318325,172,45,0,0,0
18,decision,178982.7207318325,178984.7205481655,496,45,0,0,0
18,feedback,178984.7205481655,178986.7206778735,492,48,0,0,0
19,postFeedbackDelay,178986.7206778735,,343,48,629,24,10456
